speaker,utterance,start_time,end_time
INV,what do you know about the Columbine shooting.,2990.69,2993.14
CHI,well it was a school in Colorado I think,2993.14,3001.685
CHI,and these boys they shot a whole bunch of teachers and students,3001.685,3008.952
CHI,and this,3008.952,3017.123
CHI,and that's it.,3017.123,3017.7
INV,that's it,3017.7,3018.327
INV,what do you know about the Oklahoma_City bombing.,3018.327,3021.09
CHI,well the man who did it he is getting executed soon or he already has,3021.09,3031.295
CHI,no he's getting executed soon,3031.295,3033.443
CHI,and that's it.,3033.443,3036.961
INV,nothing else.,3036.961,3037.669
CHI,unhunh.,3037.669,3038.25
INV,okay,3038.25,3038.958
INV,what do you know about Princess_Diana.,3038.958,3040.908
CHI,she died in a car accident,3040.908,3046.191
CHI,and she had a son Prince_William,3046.191,3058.683
CHI,and that's it.,3058.683,3067.716
INV,that's it,3067.716,3068.459
INV,nothing else about Princess_Diana.,3068.459,3069.84
CHI,unhunh.,3069.84,3070.467
INV,okay tell me what you know about Al_Gore.,3070.467,3072.812
CHI,he used to be the,3072.812,3075.912
CHI,he was Bill_Clinton's vice president,3075.912,3079.36
CHI,and he ran against George_Bush for president for this term,3079.36,3086.651
CHI,and so he lost,3086.651,3089.159
CHI,and his running mate or his vice president was Dave_Lieberman,3089.159,3100.154
CHI,and he's a Democrat,3100.154,3103.799
CHI,he,3103.799,3113.6
CHI,that's it.,3113.6,3114.401
INV,okay nothing else about Al_Gore,3114.401,3116.305
INV,okay tell me what you know about the Jonbenet_Ramsey case.,3116.305,3120.171
CHI,it's a little girl who,3120.171,3123.434
CHI,she sang and danced and stuff,3123.434,3127.73
CHI,she was cute,3127.73,3132.095
CHI,and people say that her parents did it,3132.095,3135.776
CHI,and it was this big,3135.776,3141.7
CHI,it took long,3141.7,3142.73
CHI,that's it.,3142.73,3145.412
INV,nothing else about Jonbenet_Ramsey,3145.412,3147.374
INV,tell me what you know about Steven_Spielberg.,3147.374,3149.928
CHI,he's a director,3149.928,3151.809
CHI,one of his movies was Amistad,3151.809,3162.351
CHI,and that's it.,3162.351,3171.407
INV,nothing else about Steven_Spielberg,3171.407,3172.962
INV,what do you know about John_F_Kennedy_Junior.,3172.962,3175.517
CHI,he got killed in a plane accident going to a wedding,3182.483,3190.575
CHI,and they,3190.575,3206.223
CHI,he was John_F_Kennedy's son,3206.223,3208.35
CHI,and that's it.,3208.35,3214.921
INV,nothing else about,3214.921,3216.398
INV,okay tell me what you know about Mother_Theresa.,3216.398,3218.973
CHI,she was a saint,3218.973,3232.208
CHI,that's it.,3232.208,3234.739
INV,nothing else about Mother_Theresa,3234.739,3236.295
INV,okay,3236.295,3237.572
INV,last bit,3237.572,3239.465
INV,tell me what you know about Bill_Cosby.,3239.465,3242.123
CHI,he's a comedian and an actor,3242.123,3245.525
CHI,and he had a show called The_Cosby_Show,3245.525,3258.331
CHI,and somebody shot his son,3258.331,3265.332
CHI,and that's it.,3265.332,3274.945
INV,nothing else about Bill_Cosby,3274.945,3276.744
INV,tell me what you know about Whitney_Houston.,3276.744,3279.298
CHI,she's a singer,3279.298,3280.54
CHI,and she has a daughter,3280.54,3284.906
CHI,and she's married,3284.906,3286.682
CHI,and she's still alive today,3286.682,3292.418
CHI,and she,3292.418,3306.526
CHI,that's it.,3306.526,3307.244
INV,that's it,3307.244,3307.859
INV,okay,3307.859,3308.37
INV,tell me what you know about Jesse_Jackson.,3308.37,3310.785
CHI,he's a reverend and a leader,3310.785,3315.22
CHI,and he helped many people,3315.22,3325.611
CHI,because he helped Bill_Clinton when he was with him,3325.611,3336.463
CHI,and he helped,3336.463,3343.84
CHI,and he,3343.84,3356.435
CHI,I dunno,3356.435,3357.074
CHI,that's it.,3357.074,3360.301
INV,that's it,3360.301,3361.161
INV,okay,3361.161,3361.59
INV,tell me what you know about Michael_Jordan.,3361.59,3365.421
CHI,he was a really good basketball player,3365.421,3368.324
CHI,and he retired from basketball,3368.324,3374.837
CHI,he played for the Chicago_Bulls,3374.837,3378.982
CHI,and he.,3378.982,3385.432
INV,that's it,3385.432,3385.938
INV,nothing else about Michael_Jordan,3385.938,3387.726
INV,okay tell me what you know about Rodney_King.,3387.726,3391.012
CHI,nothing.,3391.012,3392.463
INV,nothing,3392.463,3393.043
INV,what do you know about the Million_Man_March.,3393.043,3395.748
CHI,it's a march that,3395.748,3414.164
CHI,lots_of people went to it,3414.164,3416.913
CHI,that's it.,3416.913,3423.566
INV,that's it,3423.566,3424.17
INV,what do you know about Moesha.,3424.17,3425.586
CHI,it's a show on UPN,3425.586,3429.963
CHI,it stars Brandy,3429.963,3432.378
CHI,and she plays Moesha,3432.378,3437.159
CHI,and she has a brother named Myles and her father's named Frank,3437.159,3440.723
CHI,and her stepmother's name's Dee,3440.723,3445.0
CHI,and she has friends,3445.0,3446.2
CHI,I guess Niecy and Hakeem,3446.2,3450.859
CHI,that's it.,3450.859,3454.887
INV,nothing else about,3454.887,3456.62
INV,okay what about Spike_Lee,3456.62,3458.463
INV,what do you know about Spike_Lee.,3458.463,3459.473
CHI,he's a director.,3459.473,3460.9
INV,mhm.,3460.9,3461.353
CHI,and one of his movies was The_Original_Kings_Of_Comedy,3461.353,3465.602
CHI,that's it.,3465.602,3470.304
INV,nothing else about Spike_Lee,3470.304,3471.709
INV,okay,3485.7,3486.594
INV,Ebonics,3486.594,3488.777
INV,what do you know about Ebonics.,3488.777,3489.926
CHI,well it's a way of talking that lots_of children do,3489.926,3500.514
CHI,and it's not proper English and saying words the wrong way,3500.514,3508.897
CHI,and that's it.,3508.897,3515.712
INV,okay last one,3515.712,3517.627
INV,tell me what you know about O_J_Simpson.,3517.627,3520.112
CHI,oh he was the killing his wife,3520.112,3526.869
CHI,and that's it.,3526.869,3531.037
INV,nothing else about OJ,3531.037,3532.419
INV,okay,3532.419,3533.789
INV,that's everything,3533.789,3535.112
INV,took a long time huh,3535.112,3536.575
INV,did you get tired,3536.575,3538.003
INV,yeah.,3539.524,3540.255
